Campaign,Campaign Type,Campaign Status,Campaign Daily Budget,Networks,Ad Group,Ad Group Status,Keyword,Criterion Type,Final URL,Path 1,Path 2,Ad Type,Headline 1,Headline 1 position,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Description 1,Description 2,Description 3,Description 4
CF - Miami Buyers,,,,,Condos Brickell,,brickell condos for sale,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Condos Brickell,,condos in brickell,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Condos Brickell,,,,"https://cromwellandforbesmiami.com/?c=condos&utm_source=google&utm_medium=cpc&utm_campaign=cf-miami&utm_content=condos-brickell",miami,brickell,Responsive search ad,Brickell Condos For Sale,1,"Cromwell & Forbes, Inc.",Talk To A Licensed Advisor,5 Languages Spoken,New & Off-Market Listings,Tour In Person Or By Video,We Reply Within Minutes,WhatsApp Us Anytime,Choose Your Advisor Today,Licensed Miami Brokerage,From Brickell To Bal Harbour,"Your Search, Handled",Tell us what you are looking for - a licensed Miami advisor calls you back within minutes.,"Condos, penthouses and waterfront homes. Search, tours and closing - all handled for you.","Cromwell & Forbes, Inc. - licensed Florida real estate brokerage since 2013 (CQ1044943).","Choose your advisor, leave your number, get a 5-minute consultation. WhatsApp available."
CF - Miami Buyers,,,,,Condos Sunny Isles,Enabled,,,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Condos Sunny Isles,,sunny isles condos for sale,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Condos Sunny Isles,,sunny isles beach condos,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Condos Sunny Isles,,,,"https://cromwellandforbesmiami.com/?c=condos&utm_source=google&utm_medium=cpc&utm_campaign=cf-miami&utm_content=condos-sunny-isles",miami,sunny-isles,Responsive search ad,Sunny Isles Condos For Sale,1,"Cromwell & Forbes, Inc.",Talk To A Licensed Advisor,5 Languages Spoken,New & Off-Market Listings,Tour In Person Or By Video,We Reply Within Minutes,WhatsApp Us Anytime,Choose Your Advisor Today,Licensed Miami Brokerage,From Brickell To Bal Harbour,"Your Search, Handled",Tell us what you are looking for - a licensed Miami advisor calls you back within minutes.,"Condos, penthouses and waterfront homes. Search, tours and closing - all handled for you.","Cromwell & Forbes, Inc. - licensed Florida real estate brokerage since 2013 (CQ1044943).","Choose your advisor, leave your number, get a 5-minute consultation. WhatsApp available."
CF - Miami Buyers,,,,,Condos Bal Harbour,Enabled,,,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Condos Bal Harbour,,bal harbour condos for sale,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Condos Bal Harbour,,surfside condos for sale,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Condos Bal Harbour,,,,"https://cromwellandforbesmiami.com/?c=condos&utm_source=google&utm_medium=cpc&utm_campaign=cf-miami&utm_content=condos-bal-harbour",miami,bal-harbour,Responsive search ad,Bal Harbour Condos For Sale,1,"Cromwell & Forbes, Inc.",Talk To A Licensed Advisor,5 Languages Spoken,New & Off-Market Listings,Tour In Person Or By Video,We Reply Within Minutes,WhatsApp Us Anytime,Choose Your Advisor Today,Licensed Miami Brokerage,From Brickell To Bal Harbour,"Your Search, Handled",Tell us what you are looking for - a licensed Miami advisor calls you back within minutes.,"Condos, penthouses and waterfront homes. Search, tours and closing - all handled for you.","Cromwell & Forbes, Inc. - licensed Florida real estate brokerage since 2013 (CQ1044943).","Choose your advisor, leave your number, get a 5-minute consultation. WhatsApp available."
CF - Miami Buyers,,,,,Luxury Penthouses,Enabled,,,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Luxury Penthouses,,luxury condos miami,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Luxury Penthouses,,miami penthouses for sale,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Luxury Penthouses,,penthouse for sale miami beach,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Luxury Penthouses,,,,"https://cromwellandforbesmiami.com/?c=luxury&utm_source=google&utm_medium=cpc&utm_campaign=cf-miami&utm_content=luxury-penthouses",miami,penthouses,Responsive search ad,Luxury Condos & Penthouses,1,"Cromwell & Forbes, Inc.",Talk To A Licensed Advisor,5 Languages Spoken,New & Off-Market Listings,Tour In Person Or By Video,We Reply Within Minutes,WhatsApp Us Anytime,Choose Your Advisor Today,Licensed Miami Brokerage,From Brickell To Bal Harbour,"Your Search, Handled",Tell us what you are looking for - a licensed Miami advisor calls you back within minutes.,"Condos, penthouses and waterfront homes. Search, tours and closing - all handled for you.","Cromwell & Forbes, Inc. - licensed Florida real estate brokerage since 2013 (CQ1044943).","Choose your advisor, leave your number, get a 5-minute consultation. WhatsApp available."
CF - Miami Buyers,,,,,Waterfront Homes,Enabled,,,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Waterfront Homes,,waterfront homes for sale miami,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Waterfront Homes,,miami waterfront homes,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Waterfront Homes,,,,"https://cromwellandforbesmiami.com/?c=luxury&utm_source=google&utm_medium=cpc&utm_campaign=cf-miami&utm_content=waterfront",miami,waterfront,Responsive search ad,Miami Waterfront Homes,1,"Cromwell & Forbes, Inc.",Talk To A Licensed Advisor,5 Languages Spoken,New & Off-Market Listings,Tour In Person Or By Video,We Reply Within Minutes,WhatsApp Us Anytime,Choose Your Advisor Today,Licensed Miami Brokerage,From Brickell To Bal Harbour,"Your Search, Handled",Tell us what you are looking for - a licensed Miami advisor calls you back within minutes.,"Condos, penthouses and waterfront homes. Search, tours and closing - all handled for you.","Cromwell & Forbes, Inc. - licensed Florida real estate brokerage since 2013 (CQ1044943).","Choose your advisor, leave your number, get a 5-minute consultation. WhatsApp available."
CF - Miami Buyers,,,,,Homes Miami Beach,Enabled,,,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Homes Miami Beach,,homes for sale miami beach,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Homes Miami Beach,,houses for sale in miami beach,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Homes Miami Beach,,,,"https://cromwellandforbesmiami.com/?c=homes&utm_source=google&utm_medium=cpc&utm_campaign=cf-miami&utm_content=homes-miami-beach",miami-beach,homes,Responsive search ad,Homes For Sale Miami Beach,1,"Cromwell & Forbes, Inc.",Talk To A Licensed Advisor,5 Languages Spoken,New & Off-Market Listings,Tour In Person Or By Video,We Reply Within Minutes,WhatsApp Us Anytime,Choose Your Advisor Today,Licensed Miami Brokerage,From Brickell To Bal Harbour,"Your Search, Handled",Tell us what you are looking for - a licensed Miami advisor calls you back within minutes.,"Condos, penthouses and waterfront homes. Search, tours and closing - all handled for you.","Cromwell & Forbes, Inc. - licensed Florida real estate brokerage since 2013 (CQ1044943).","Choose your advisor, leave your number, get a 5-minute consultation. WhatsApp available."
CF - Miami Buyers,,,,,Real Estate Agent,Enabled,,,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Real Estate Agent,,miami real estate agent,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Real Estate Agent,,real estate agent near me,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Real Estate Agent,,realtor in miami,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - Miami Buyers,,,,,Real Estate Agent,,,,"https://cromwellandforbesmiami.com/?utm_source=google&utm_medium=cpc&utm_campaign=cf-miami&utm_content=agent",miami,advisors,Responsive search ad,Miami Real Estate Agents,1,"Cromwell & Forbes, Inc.",Talk To A Licensed Advisor,5 Languages Spoken,New & Off-Market Listings,Tour In Person Or By Video,We Reply Within Minutes,WhatsApp Us Anytime,Choose Your Advisor Today,Licensed Miami Brokerage,From Brickell To Bal Harbour,"Your Search, Handled",Tell us what you are looking for - a licensed Miami advisor calls you back within minutes.,"Condos, penthouses and waterfront homes. Search, tours and closing - all handled for you.","Cromwell & Forbes, Inc. - licensed Florida real estate brokerage since 2013 (CQ1044943).","Choose your advisor, leave your number, get a 5-minute consultation. WhatsApp available."
